,Substrate,Name_efi,fuzz_ratio,fuzz_partial_ratio,human_curation
124,trehalose-6-phosphate,trehalose-6-phosphate,trehalose-6-phosphate,trehalose-6-phosphate,
125,sucrose 6-phosphate,sucrose-6-phosphate,sucrose-6-phosphate,sucrose-6-phosphate,
126,p-nitrophenylphosphate (pNPP),PNPP,imidodiphosphate (PNP),PNPP,
127,acetyl-phosphate,Acetyl-phosphate,Acetyl-phosphate,Acetyl-phosphate,
128,Carbamyl phosphate,Carbamyl-phosphate,Carbamyl-phosphate,Carbamyl-phosphate,
129,dihydroxyacetone phosphate (DHAP),dihydroxyacetone phosphate,dihydroxyacetone phosphate,dihydroxyacetone phosphate,
130,D-xylulose-5-phosphate,D-xylulose-5-phosphate,D-xylulose-5-phosphate,D-xylulose-5-phosphate,
131,D-ribulose-5-phosphate,D-ribulose-5-phosphate,D-ribulose-5-phosphate,D-ribulose-5-phosphate,
132,L-ribulose-5-phosphate,L-ribulose-5-phosphate,L-ribulose-5-phosphate,L-ribulose-5-phosphate,
133,D-Fructose 6-phosphate,D-fructose-6-phosphate,D-fructose-6-phosphate,D-fructose-6-phosphate,
134,D-tagatose-6-phosphate,D-tagatose-6-phosphate,D-tagatose-6-phosphate,D-tagatose-6-phosphate,
135,D-psicose-6-phosphate,D-psicose-6-phosphate,D-psicose-6-phosphate,D-psicose-6-phosphate,
136,L-sorbose-1-phosphate,L-sorbose-1-phosphate,L-sorbose-1-phosphate,L-sorbose-1-phosphate,
137,L-Sorbose-4-P    ,L-sorbose-4-phosphate,L-sorbose-4-phosphate,L-sorbose-4-phosphate,
138,D-sedoheptulose-7-phosphate,D-sedoheptulose-7-phosphate,D-sedoheptulose-7-phosphate,D-sedoheptulose-7-phosphate,
139,pyridoxal-5'-phosphate,pyridoxal-5'-phosphate,pyridoxal-5'-phosphate,pyridoxal-5'-phosphate,
140,Coenzyme A (CoA),Coenzyme A,Coenzyme A,Coenzyme A,
141,riboflavin-5-phosphate (FMN),FMN,D-ribitol-5-phosphate,FMN,
142,beta-Nicotinamide adenine dinucleotide phosphate (NADP),NADP,N-acetylneuraminic acid-9-phosphate,ADP,NADP
143,5'-AMP,5'-AMP,5'-AMP,5'-AMP,
144,3'-AMP,3'-AMP,3'-AMP,3'-AMP,
145,dAMP,dAMP,dAMP,dAMP,
146,UMP ,UMP,UMP,dUMP,
147,dUMP,dUMP,dUMP,dUMP,
148,TMP (dTMP),dTMP,dTMP,dTMP,
149,CMP,CMP,CMP,dCMP,
150,dCMP,dCMP,dCMP,dCMP,
151,GMP ,GMP,GMP,GMP,
152,dGMP,dGMP,dGMP,GMP,
153,IMP,IMP,IMP,IMP,
154,2'AMP,2'-AMP,2'-AMP,2'-AMP,
155,"Adenosine 3',5'-diphosphate",3'-5' ADP,"D-glucose-3,5-bisphosphate",3'-5' ADP,
156,phosphonoformic acid (PFA),phosphormic  acid (PFA),phosphormic  acid (PFA),phosphormic  acid (PFA),
157,N-phosphonomethyl glycine (PMG),N-phosphonomethyl glycine (PMG),N-phosphonomethyl glycine (PMG),N-phosphonomethyl glycine (PMG),
158,DL-2-Amino-3-phosphonopropionic acid (APPA),DL-2'-amino-3-phosphonopropinoic acid (APPA),DL-2'-amino-3-phosphonopropinoic acid (APPA),DL-2'-amino-3-phosphonopropinoic acid (APPA),
159,5-phosphoribosyl-1-pyrophosphate,5'-phosphoribosyl-1-pyrophosphate,5'-phosphoribosyl-1-pyrophosphate,Pyrophosphate,
160,"alpha-D-Glucose 1,6-bisphosphate ","α-D-glucose-1,6-bisphosphate","α-D-glucose-1,6-bisphosphate","α-D-glucose-1,6-bisphosphate",
161,"D-fructose 1,6-bisphosphate ","D-fructose-1,6-bisphosphate","D-fructose-1,6-bisphosphate","D-fructose-1,6-bisphosphate",
162,"beta-glucose-1,6-bisphosphate","B-glucose-1,6-bisphosphate","B-glucose-1,6-bisphosphate","B-glucose-1,6-bisphosphate",
163,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate","D-glycero-beta-D-manno-heptose-1,7-bisphosphate","D-glycero-beta-D-manno-heptose-1,7-bisphosphate","D-glycero-beta-D-manno-heptose-1,7-bisphosphate",
164,"D-glycero-alpha-D-manno-heptose-1,7-bisphosphate","D-glycero-alpha-D-manno-heptose-1,7-bisphosphate","D-glycero-alpha-D-manno-heptose-1,7-bisphosphate","D-glycero-alpha-D-manno-heptose-1,7-bisphosphate",
165,"D-glucose-3,5-diphosphate","D-glucose-3,5-bisphosphate","D-glucose-3,5-bisphosphate","D-glucose-3,5-bisphosphate",
166,"D-glucitol-3,5-diphohsphate","D-glucitol-3,5-diphosphate","D-glucitol-3,5-diphosphate","D-glucitol-3,5-diphosphate",
